name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0	256	StereoEEG	512	bad	n/a
C4	SEEG	µV	0	256	StereoEEG	512	bad	n/a
CZ	SEEG	µV	0	256	StereoEEG	512	bad	n/a
EKG1	SEEG	µV	0	256	StereoEEG	512	bad	n/a
EKG2	SEEG	µV	0	256	StereoEEG	512	bad	n/a
FZ	SEEG	µV	0	256	StereoEEG	512	bad	n/a
LA01	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA02	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA03	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA04	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA05	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA06	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA07	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA08	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA09	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA10	SEEG	µV	0	256	StereoEEG	512	good	n/a
LA11	SEEG	µV	0	256	StereoEEG	512	bad	n/a
LA12	SEEG	µV	0	256	StereoEEG	512	bad	n/a
LB01	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB02	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB03	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB04	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB05	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB06	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB07	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB08	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB09	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB10	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB11	SEEG	µV	0	256	StereoEEG	512	good	n/a
LB12	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC01	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC02	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC03	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC04	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC05	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC06	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC07	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC08	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC09	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC10	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC11	SEEG	µV	0	256	StereoEEG	512	good	n/a
LC12	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD01	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD02	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD03	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD04	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD05	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD06	SEEG	µV	0	256	StereoEEG	512	good	n/a
LD07	SEEG	µV	0	256	StereoEEG	512	good	soz
LD08	SEEG	µV	0	256	StereoEEG	512	good	soz
LD09	SEEG	µV	0	256	StereoEEG	512	good	soz
LD10	SEEG	µV	0	256	StereoEEG	512	good	soz
LD11	SEEG	µV	0	256	StereoEEG	512	good	soz
LD12	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE01	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE02	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE03	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE04	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE05	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE06	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE07	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE08	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE09	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE10	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE11	SEEG	µV	0	256	StereoEEG	512	good	n/a
LE12	SEEG	µV	0	256	StereoEEG	512	good	n/a
