name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
EKG2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LB04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB09	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LB10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC05	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC06	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC07	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC08	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD01	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD02	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD03	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LD04	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
