name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EKG1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
EKG2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a
LA2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LA4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect
LA6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LA9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	resect,soz
LB4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LB9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
LC9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a
